"Source Name",URL,"Date Accessed","Referrer URL",Title,"Program Name",Domain,Username,"Data Source"
History,"https://www.bing.com/search?qs=LS&pq=python+for+&sk=CSYN1&sc=16-11&pglt=2083&q=python+for+windows&cvid=623b817eacf94e84bb2aaf4434f7896e&gs_lcrp=EgRlZGdlKgYIARAAGEAyBggAEEUYOTIGCAEQABhAMgYIAhAAGEAyBggDEAAYQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQABhAMgYICBAAGEDSAQg4MDIxajBqN6gCALACAA&FORM=ANSPA1&PC=U531","2026-04-24 14:17:31 EDT","https://www.bing.com/search?qs=LS&pq=python+for+&sk=CSYN1&sc=16-11&pglt=2083&q=python+for+windows&cvid=623b817eacf94e84bb2aaf4434f7896e&gs_lcrp=EgRlZGdlKgYIARAAGEAyBggAEEUYOTIGCAEQABhAMgYIAhAAGEAyBggDEAAYQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQABhAMgYICBAAGEDSAQg4MDIxajBqN6gCALACAA&FORM=ANSPA1&PC=U531","python for windows - Search","Microsoft Edge",bing.com,Default,"Windows_Ransomware_Build.vmdk"
History,"https://www.bing.com/ck/a?!&&p=faebee9551997413abb267f2e9b52b62130c1d73adb23c7ef6b10ddd88ecd47eJmltdHM9MTc3Njk4ODgwMA&ptn=3&ver=2&hsh=4&fclid=15ab67a1-2162-624e-3bb8-70e420216393&psq=python+for+windows&u=a1aHR0cHM6Ly93d3cucHl0aG9uLm9yZy9kb3dubG9hZHMvd2luZG93cy8&ntb=1","2026-04-24 14:17:31 EDT","https://www.bing.com/ck/a?!&&p=faebee9551997413abb267f2e9b52b62130c1d73adb23c7ef6b10ddd88ecd47eJmltdHM9MTc3Njk4ODgwMA&ptn=3&ver=2&hsh=4&fclid=15ab67a1-2162-624e-3bb8-70e420216393&psq=python+for+windows&u=a1aHR0cHM6Ly93d3cucHl0aG9uLm9yZy9kb3dubG9hZHMvd2luZG93cy8&ntb=1",,"Microsoft Edge",bing.com,Default,"Windows_Ransomware_Build.vmdk"
History,"https://www.bing.com/search?qs=LS&pq=python+for+&sk=CSYN1&sc=16-11&pglt=2083&q=python+for+windows&cvid=623b817eacf94e84bb2aaf4434f7896e&gs_lcrp=EgRlZGdlKgYIARAAGEAyBggAEEUYOTIGCAEQABhAMgYIAhAAGEAyBggDEAAYQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQABhAMgYICBAAGEDSAQg4MDIxajBqN6gCALACAA&FORM=ANSPA1&PC=U531","2026-04-24 14:17:31 EDT","https://www.bing.com/search?qs=LS&pq=python+for+&sk=CSYN1&sc=16-11&pglt=2083&q=python+for+windows&cvid=623b817eacf94e84bb2aaf4434f7896e&gs_lcrp=EgRlZGdlKgYIARAAGEAyBggAEEUYOTIGCAEQABhAMgYIAhAAGEAyBggDEAAYQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQABhAMgYICBAAGEDSAQg4MDIxajBqN6gCALACAA&FORM=ANSPA1&PC=U531","python for windows - Search","Microsoft Edge",bing.com,Default,"Windows_Ransomware_Build.vmdk"
History,"https://www.python.org/downloads/windows/","2026-04-24 14:17:32 EDT","https://www.python.org/downloads/windows/","Python Releases for Windows | Python.org","Microsoft Edge",python.org,Default,"Windows_Ransomware_Build.vmdk"
History,"https://www.microsoft.com/edge/welcome?form=MT00LJ&form=MT004A&OCID=MT004A","2026-04-23 23:10:30 EDT","https://www.microsoft.com/edge/welcome?form=MT00LJ&form=MT004A&OCID=MT004A","Welcome to Microsoft Edge","Microsoft Edge",microsoft.com,Default,"Windows_Ransomware_Build.vmdk"
History,"https://www.microsoft.com/edge/welcome?form=MT00LJ&form=MT004A&OCID=MT004A","2026-04-23 23:10:30 EDT","https://www.microsoft.com/edge/welcome?form=MT00LJ&form=MT004A&OCID=MT004A","Welcome to Microsoft Edge","Microsoft Edge",microsoft.com,Default,"Windows_Ransomware_Build.vmdk"
History,"https://www.microsoft.com/en-us/edge/welcome?form=MT00LJ&form=MT004A&OCID=MT004A&cs=1174669073","2026-04-23 23:10:30 EDT","https://www.microsoft.com/en-us/edge/welcome?form=MT00LJ&form=MT004A&OCID=MT004A&cs=1174669073","Welcome to Microsoft Edge","Microsoft Edge",microsoft.com,Default,"Windows_Ransomware_Build.vmdk"
History,"https://www.microsoft.com/en-us/edge/welcome?form=MT00LJ&form=MT004A&OCID=MT004A&cs=1174669073&esf=1","2026-04-23 23:10:30 EDT","https://www.microsoft.com/en-us/edge/welcome?form=MT00LJ&form=MT004A&OCID=MT004A&cs=1174669073&esf=1","Welcome to Microsoft Edge","Microsoft Edge",microsoft.com,Default,"Windows_Ransomware_Build.vmdk"
History,"https://www.bing.com/search?qs=LS&pq=github&sk=CSYN1UAS4LS9FT4LC1&sc=22-6&q=github&cvid=bac170c3c6a643b481365d8e9bb6fe05&gs_lcrp=EgRlZGdlKgYIABAAGEAyBggAEAAYQDIGCAEQLhhAMgYIAhAAGEAyBggDEC4YQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQABhAMgYICBAAGEDSAQgyNDY1ajBqNKgCALACAQ&FORM=ANAB01&PC=U531","2026-04-23 23:10:47 EDT","https://www.bing.com/search?qs=LS&pq=github&sk=CSYN1UAS4LS9FT4LC1&sc=22-6&q=github&cvid=bac170c3c6a643b481365d8e9bb6fe05&gs_lcrp=EgRlZGdlKgYIABAAGEAyBggAEAAYQDIGCAEQLhhAMgYIAhAAGEAyBggDEC4YQDIGCAQQABhAMgYIBRAAGEAyBggGEAAYQDIGCAcQABhAMgYICBAAGEDSAQgyNDY1ajBqNKgCALACAQ&FORM=ANAB01&PC=U531","github - Search","Microsoft Edge",bing.com,Default,"Windows_Ransomware_Build.vmdk"
History,"https://www.bing.com/ck/a?!&&p=faba3c55b3d6a75e397eaacc2bc0c223b0436ed47230f4cf5975424a4fe95392JmltdHM9MTc3NjkwMjQwMA&ptn=3&ver=2&hsh=4&fclid=348ccc1b-9057-6073-07f9-db5e913561ba&psq=github&u=a1aHR0cHM6Ly9naXRodWIuY29tLw&ntb=1","2026-04-23 23:10:47 EDT","https://www.bing.com/ck/a?!&&p=faba3c55b3d6a75e397eaacc2bc0c223b0436ed47230f4cf5975424a4fe95392JmltdHM9MTc3NjkwMjQwMA&ptn=3&ver=2&hsh=4&fclid=348ccc1b-9057-6073-07f9-db5e913561ba&psq=github&u=a1aHR0cHM6Ly9naXRodWIuY29tLw&ntb=1",,"Microsoft Edge",bing.com,Default,"Windows_Ransomware_Build.vmdk"
